產業別,股票代碼,股票名稱,市場別,更新日期
ETF,0050,元大台灣50,twse,2021-05-17
ETF,0051,元大中型100,twse,2021-05-17
ETF,0052,富邦科技,twse,2021-05-17
ETF,0053,元大電子,twse,2021-05-17
ETF,0054,元大台商50,twse,2021-05-17
ETF,0055,元大MSCI金融,twse,2021-05-17
ETF,0056,元大高股息,twse,2021-05-17
ETF,0057,富邦摩台,twse,2021-05-17
ETF,0058,富邦發達,twse,2021-05-17
ETF,0059,富邦金融,twse,2021-05-17
ETF,0060,新台灣,twse,2021-05-17
ETF,0061,元大寶滬深,twse,2021-05-17
上櫃指數股票型基金(ETF),006201,元大富櫃50,tpex,2021-05-17
ETF,006203,元大MSCI台灣,twse,2021-05-17
ETF,006204,永豐臺灣加權,twse,2021-05-17
ETF,006205,富邦上証,twse,2021-05-17
ETF,006206,元大上證50,twse,2021-05-17
ETF,006207,FH滬深,twse,2021-05-17
ETF,006208,富邦台50,twse,2021-05-17
ETF,00625K,富邦上証+R,twse,2021-05-17
ETF,00631L,元大台灣50正2,twse,2021-05-17
ETF,00632R,元大台灣50反1,twse,2021-05-17
ETF,00633L,富邦上証正2,twse,2021-05-17
ETF,00634R,富邦上証反1,twse,2021-05-17
ETF,00635U,期元大S&P黃金,twse,2021-05-17
ETF,00636,國泰中國A50,twse,2021-05-17
ETF,00636K,國泰中國A50+U,twse,2021-05-17
ETF,00637L,元大滬深300正2,twse,2021-05-17
ETF,00638R,元大滬深300反1,twse,2021-05-17
ETF,00639,富邦深100,twse,2021-05-17
ETF,00640L,富邦日本正2,twse,2021-05-17
ETF,00641R,富邦日本反1,twse,2021-05-17
ETF,00642U,期元大S&P石油,twse,2021-05-17
ETF,00643,群益深証中小,twse,2021-05-17
ETF,00643K,群益深証中小+R,twse,2021-05-17
ETF,00645,富邦日本,twse,2021-05-17
ETF,00646,元大S&P500,twse,2021-05-17
ETF,00647L,元大S&P500正2,twse,2021-05-17
ETF,00648R,元大S&P500反1,twse,2021-05-17
ETF,00649,FH香港,twse,2021-05-17
ETF,00650L,FH香港正2,twse,2021-05-17
ETF,00651R,FH香港反1,twse,2021-05-17
ETF,00652,富邦印度,twse,2021-05-17
ETF,00653L,富邦印度正2,twse,2021-05-17
ETF,00654R,富邦印度反1,twse,2021-05-17
ETF,00655L,國泰中國A50正2,twse,2021-05-17
ETF,00656R,國泰中國A50反1,twse,2021-05-17
ETF,00657,國泰日經225,twse,2021-05-17
ETF,00657K,國泰日經225+U,twse,2021-05-17
ETF,00658L,國泰日本正2,twse,2021-05-17
ETF,00659R,國泰日本反1,twse,2021-05-17
ETF,00660,元大歐洲50,twse,2021-05-17
ETF,00661,元大日經225,twse,2021-05-17
ETF,00662,富邦NASDAQ,twse,2021-05-17
ETF,00663L,國泰臺灣加權正2,twse,2021-05-17
ETF,00664R,國泰臺灣加權反1,twse,2021-05-17
ETF,00665L,富邦恒生國企正2,twse,2021-05-17
ETF,00666R,富邦恒生國企反1,twse,2021-05-17
ETF,00667,元大韓國,twse,2021-05-17
ETF,00668,國泰美國道瓊,twse,2021-05-17
ETF,00668K,國泰美國道瓊+U,twse,2021-05-17
ETF,00669R,國泰美國道瓊反1,twse,2021-05-17
ETF,00670L,富邦NASDAQ正2,twse,2021-05-17
ETF,00671R,富邦NASDAQ反1,twse,2021-05-17
ETF,00672L,元大S&P原油正2,twse,2021-05-17
ETF,00673R,期元大S&P原油反1,twse,2021-05-17
ETF,00674R,期元大S&P黃金反1,twse,2021-05-17
ETF,00675L,富邦臺灣加權正2,twse,2021-05-17
ETF,00676R,富邦臺灣加權反1,twse,2021-05-17
ETF,00677U,期富邦VIX,twse,2021-05-17
ETF,00678,群益NBI生技,twse,2021-05-17
上櫃指數股票型基金(ETF),00679B,元大美債20年,tpex,2021-05-17
ETF,00680L,元大美債20正2,twse,2021-05-17
ETF,00681R,元大美債20反1,twse,2021-05-17
ETF,00682U,期元大美元指數,twse,2021-05-17
ETF,00683L,期元大美元指正2,twse,2021-05-17
ETF,00684R,期元大美元指反1,twse,2021-05-17
ETF,00685L,群益臺灣加權正2,twse,2021-05-17
ETF,00686R,群益臺灣加權反1,twse,2021-05-17
上櫃指數股票型基金(ETF),00687B,國泰20年美債,tpex,2021-05-17
ETF,00688L,國泰20年美債正2,twse,2021-05-17
ETF,00689R,國泰20年美債反1,twse,2021-05-17
ETF,00690,兆豐藍籌30,twse,2021-05-17
ETF,00691R,兆豐藍籌30反1,twse,2021-05-17
ETF,00692,富邦公司治理,twse,2021-05-17
ETF,00693U,期街口S&P黃豆,twse,2021-05-17
上櫃指數股票型基金(ETF),00694B,富邦美債1-3,tpex,2021-05-17
上櫃指數股票型基金(ETF),00695B,富邦美債7-10,tpex,2021-05-17
上櫃指數股票型基金(ETF),00696B,富邦美債20年,tpex,2021-05-17
上櫃指數股票型基金(ETF),00697B,元大美債7-10,tpex,2021-05-17
ETF,00698L,元大美債7-10正2,twse,2021-05-17
ETF,00699R,元大美債7-10反1,twse,2021-05-17
ETF,00700,富邦恒生國企,twse,2021-05-17
ETF,00701,國泰股利精選30,twse,2021-05-17
ETF,00702,國泰標普低波高息,twse,2021-05-17
ETF,00703,台新MSCI中國,twse,2021-05-17
ETF,00704L,台新MSCI台灣正2,twse,2021-05-17
ETF,00705R,台新MSCI台灣反1,twse,2021-05-17
ETF,00706L,期元大S&P日圓正2,twse,2021-05-17
ETF,00707R,期元大S&P日圓反1,twse,2021-05-17
ETF,00708L,期元大S&P黃金正2,twse,2021-05-17
ETF,00709,富邦歐洲,twse,2021-05-17
ETF,00710B,FH彭博高收益債,twse,2021-05-17
ETF,00711B,FH彭博新興債,twse,2021-05-17
ETF,00712,FH富時不動產,twse,2021-05-17
ETF,00713,元大台灣高息低波,twse,2021-05-17
ETF,00714,群益道瓊美國地產,twse,2021-05-17
ETF,00715L,期街口布蘭特正2,twse,2021-05-17
ETF,00716R,華頓S&P布蘭特反1,twse,2021-05-17
ETF,00717,富邦美國特別股,twse,2021-05-17
上櫃指數股票型基金(ETF),00718B,富邦中國政策債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00719B,元大美債1-3,tpex,2021-05-17
上櫃指數股票型基金(ETF),00720B,元大投資級公司債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00721B,元大中國債3-5,tpex,2021-05-17
上櫃指數股票型基金(ETF),00722B,群益15年IG電信債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00723B,群益15年IG科技債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00724B,群益10年IG金融債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00725B,國泰投資級公司債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00726B,國泰5Y+新興債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00727B,國泰1-5Y高收債,tpex,2021-05-17
ETF,00728,第一金工業30,twse,2021-05-17
ETF,00729R,第一金工業30反1,twse,2021-05-17
ETF,00730,富邦臺灣優質高息,twse,2021-05-17
ETF,00731,FH富時高息低波,twse,2021-05-17
ETF,00732,國泰RMB短期報酬,twse,2021-05-17
ETF,00733,富邦臺灣中小,twse,2021-05-17
上櫃指數股票型基金(ETF),00734B,台新JPM新興債,tpex,2021-05-17
ETF,00735,國泰臺韓科技,twse,2021-05-17
ETF,00736,國泰新興市場,twse,2021-05-17
ETF,00737,國泰AI+Robo,twse,2021-05-17
ETF,00738U,期元大道瓊白銀,twse,2021-05-17
ETF,00739,元大MSCI A股,twse,2021-05-17
上櫃指數股票型基金(ETF),00740B,富邦全球投等債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00741B,富邦全球高收債,tpex,2021-05-17
ETF,00742,新光內需收益,twse,2021-05-17
ETF,00743,國泰中國A150,twse,2021-05-17
上櫃指數股票型基金(ETF),00744B,國泰中國政金債5+,tpex,2021-05-17
上櫃指數股票型基金(ETF),00745B,富邦中政債0-1,tpex,2021-05-17
上櫃指數股票型基金(ETF),00746B,富邦A級公司債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00747B,FH中國政策債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00748B,凱基中國債3-10,tpex,2021-05-17
上櫃指數股票型基金(ETF),00749B,凱基新興債10+,tpex,2021-05-17
上櫃指數股票型基金(ETF),00750B,凱基科技債10+,tpex,2021-05-17
上櫃指數股票型基金(ETF),00751B,元大AAA至A公司債,tpex,2021-05-17
ETF,00752,中信中國50,twse,2021-05-17
ETF,00753L,中信中國50正2,twse,2021-05-17
上櫃指數股票型基金(ETF),00754B,群益AAA-AA公司債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00755B,群益15年IG公用債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00756B,群益15年EM主權債,tpex,2021-05-17
ETF,00757,統一FANG+,twse,2021-05-17
上櫃指數股票型基金(ETF),00758B,FH能源債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00759B,FH製藥債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00760B,FH新興企業債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00761B,國泰A級公司債,tpex,2021-05-17
ETF,00762,元大全球AI,twse,2021-05-17
ETF,00763U,期街口道瓊銅,twse,2021-05-17
上櫃指數股票型基金(ETF),00764B,群益25年美債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00765B,群益中國政金債,tpex,2021-05-17
ETF,00766L,台新MSCI中國正2,twse,2021-05-17
ETF,00767,FH美國金融股,twse,2021-05-17
上櫃指數股票型基金(ETF),00768B,FH20年美債,tpex,2021-05-17
ETF,00770,國泰北美科技,twse,2021-05-17
ETF,00771,元大US高息特別股,twse,2021-05-17
上櫃指數股票型基金(ETF),00772B,中信高評級公司債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00773B,中信優先金融債,tpex,2021-05-17
ETF,00774B,新光中國政金綠債,twse,2021-05-17
ETF,00774C,新光中政金綠債+R,twse,2021-05-17
ETF,00775B,新光投等債15+,twse,2021-05-17
ETF,00776,新光ICE美國權值,twse,2021-05-17
上櫃指數股票型基金(ETF),00777B,凱基AAA至A公司債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00778B,凱基金融債20+,tpex,2021-05-17
上櫃指數股票型基金(ETF),00779B,凱基美債25+,tpex,2021-05-17
上櫃指數股票型基金(ETF),00780B,國泰A級金融債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00781B,國泰A級科技債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00782B,國泰A級公用債,tpex,2021-05-17
ETF,00783,富邦中証500,twse,2021-05-17
上櫃指數股票型基金(ETF),00784B,富邦中國投等債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00785B,富邦金融投等債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00786B,元大10年IG銀行債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00787B,元大10年IG醫療債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00788B,元大10年IG電能債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00789B,FH公司債A3,tpex,2021-05-17
上櫃指數股票型基金(ETF),00790B,FH次順位IG金融債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00791B,FH美元信用債1-5Y,tpex,2021-05-17
上櫃指數股票型基金(ETF),00792B,群益A級公司債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00793B,群益AAA-A醫療債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00794B,群益7+中國政金債,tpex,2021-05-17
上櫃指數股票型基金(ETF),00795B,中信美國公債20年,tpex,2021-05-17
上櫃指數股票型基金(ETF),00796B,中信中國債7-10,tpex,2021-05-17
上櫃指數股票型基金(ETF),00798B,國泰中企A級債7+,tpex,2020-07-16
上櫃指數股票型基金(ETF),00799B,國泰A級醫療債,tpex,2021-05-17
ETF,0080,恒中國,twse,2021-05-17
ETF,0081,恒香港,twse,2021-05-17
ETF,008201,BP上證50,twse,2021-05-17
